procs, threads, runs, kernel, GFlops
1,1,1,DDOT,1.42929
1,1,1,WAXPBY,1.30327
1,1,1,SpMV,1.36353
1,1,1,MG,1.16944
1,1,2,DDOT,1.43245
1,1,2,WAXPBY,1.29288
1,1,2,SpMV,1.36019
1,1,2,MG,1.17007
1,1,3,DDOT,1.42732
1,1,3,WAXPBY,1.30589
1,1,3,SpMV,1.35171
1,1,3,MG,1.16742
1,1,4,DDOT,1.42302
1,1,4,WAXPBY,1.29352
1,1,4,SpMV,1.3629
1,1,4,MG,1.1685
1,1,5,DDOT,1.42302
1,1,5,WAXPBY,1.30196
1,1,5,SpMV,1.35101
1,1,5,MG,1.16901
1,16,1,DDOT,0.657915
1,16,1,WAXPBY,0.906257
1,16,1,SpMV,9.60604
1,16,1,MG,1.25915
1,16,2,DDOT,0.577223
1,16,2,WAXPBY,0.964528
1,16,2,SpMV,10.5461
1,16,2,MG,1.26233
1,16,3,DDOT,0.641881
1,16,3,WAXPBY,0.891005
1,16,3,SpMV,6.84004
1,16,3,MG,1.25893
1,16,4,DDOT,0.644993
1,16,4,WAXPBY,0.853763
1,16,4,SpMV,6.41142
1,16,4,MG,1.26457
1,16,5,DDOT,0.638877
1,16,5,WAXPBY,0.830397
1,16,5,SpMV,9.05659
1,16,5,MG,1.21426
1,2,1,DDOT,1.20631
1,2,1,WAXPBY,1.08406
1,2,1,SpMV,2.34221
1,2,1,MG,1.20891
1,2,2,DDOT,1.17118
1,2,2,WAXPBY,1.07552
1,2,2,SpMV,2.40317
1,2,2,MG,1.17242
1,2,3,DDOT,1.17409
1,2,3,WAXPBY,1.09666
1,2,3,SpMV,2.57559
1,2,3,MG,1.22701
1,2,4,DDOT,1.19135
1,2,4,WAXPBY,1.09228
1,2,4,SpMV,2.58455
1,2,4,MG,1.22893
1,2,5,DDOT,1.22395
1,2,5,WAXPBY,1.08861
1,2,5,SpMV,2.26292
1,2,5,MG,1.12578
1,4,1,DDOT,1.17622
1,4,1,WAXPBY,1.24212
1,4,1,SpMV,4.70374
1,4,1,MG,1.25837
1,4,2,DDOT,1.22574
1,4,2,WAXPBY,1.37055
1,4,2,SpMV,4.52622
1,4,2,MG,1.20371
1,4,3,DDOT,1.2511
1,4,3,WAXPBY,1.32052
1,4,3,SpMV,4.16797
1,4,3,MG,1.26186
1,4,4,DDOT,1.27415
1,4,4,WAXPBY,1.38874
1,4,4,SpMV,4.47477
1,4,4,MG,1.27034
1,4,5,DDOT,1.23862
1,4,5,WAXPBY,1.36623
1,4,5,SpMV,4.51592
1,4,5,MG,1.25714
1,8,1,DDOT,1.05389
1,8,1,WAXPBY,1.26421
1,8,1,SpMV,7.01638
1,8,1,MG,1.28221
1,8,2,DDOT,1.02475
1,8,2,WAXPBY,1.2508
1,8,2,SpMV,6.94268
1,8,2,MG,1.28122
1,8,3,DDOT,1.05906
1,8,3,WAXPBY,1.2776
1,8,3,SpMV,7.45207
1,8,3,MG,1.20069
1,8,4,DDOT,1.039
1,8,4,WAXPBY,1.19824
1,8,4,SpMV,6.86472
1,8,4,MG,1.28258
1,8,5,DDOT,1.02909
1,8,5,WAXPBY,1.13068
1,8,5,SpMV,7.51436
1,8,5,MG,1.25394
2,1,1,DDOT,1.90432
2,1,1,WAXPBY,2.67439
2,1,1,SpMV,2.11416
2,1,1,MG,2.28213
2,1,2,DDOT,1.80213
2,1,2,WAXPBY,2.70084
2,1,2,SpMV,2.11196
2,1,2,MG,2.28282
2,1,3,DDOT,1.89562
2,1,3,WAXPBY,2.65591
2,1,3,SpMV,2.11574
2,1,3,MG,2.26384
2,1,4,DDOT,1.89979
2,1,4,WAXPBY,2.68061
2,1,4,SpMV,2.11489
2,1,4,MG,2.27506
2,1,5,DDOT,1.06646
2,1,5,WAXPBY,2.46535
2,1,5,SpMV,1.96374
2,1,5,MG,2.03843
2,2,1,DDOT,1.46397
2,2,1,WAXPBY,2.01802
2,2,1,SpMV,3.92577
2,2,1,MG,2.25057
2,2,2,DDOT,1.85231
2,2,2,WAXPBY,2.06295
2,2,2,SpMV,3.94854
2,2,2,MG,2.36583
2,2,3,DDOT,2.45834
2,2,3,WAXPBY,3.28791
2,2,3,SpMV,4.04674
2,2,3,MG,2.41705
2,2,4,DDOT,1.88804
2,2,4,WAXPBY,2.08702
2,2,4,SpMV,3.92903
2,2,4,MG,2.38462
2,2,5,DDOT,1.78201
2,2,5,WAXPBY,2.04184
2,2,5,SpMV,3.95698
2,2,5,MG,2.38477
2,4,1,DDOT,1.3135
2,4,1,WAXPBY,2.60589
2,4,1,SpMV,6.75947
2,4,1,MG,2.42977
2,4,2,DDOT,1.05902
2,4,2,WAXPBY,2.38459
2,4,2,SpMV,6.8642
2,4,2,MG,2.33748
2,4,3,DDOT,1.8844
2,4,3,WAXPBY,2.52031
2,4,3,SpMV,6.22139
2,4,3,MG,2.38818
2,4,4,DDOT,1.25582
2,4,4,WAXPBY,2.37123
2,4,4,SpMV,6.76465
2,4,4,MG,2.44815
2,4,5,DDOT,0.967703
2,4,5,WAXPBY,2.82963
2,4,5,SpMV,6.74415
2,4,5,MG,2.39869
2,8,1,DDOT,1.55805
2,8,1,WAXPBY,1.89944
2,8,1,SpMV,10.7565
2,8,1,MG,2.45226
2,8,2,DDOT,0.988346
2,8,2,WAXPBY,2.05967
2,8,2,SpMV,11.07
2,8,2,MG,2.36677
2,8,3,DDOT,1.48907
2,8,3,WAXPBY,2.39159
2,8,3,SpMV,10.9356
2,8,3,MG,2.485
2,8,4,DDOT,1.1794
2,8,4,WAXPBY,2.41451
2,8,4,SpMV,11.1521
2,8,4,MG,2.46018
2,8,5,DDOT,1.25125
2,8,5,WAXPBY,2.1636
2,8,5,SpMV,10.5407
2,8,5,MG,2.34072
